Sample	Location	Region	Het_muskoxmap	estimate
GF-1	GF	CaIN	0.000103442	all
GF-14	GF	CaIN	0.000111945	all
GF-15	GF	CaIN	0.0000963091	all
GF-19	GF	CaIN	0.000133222	all
GF-2	GF	CaIN	0.0000897089	all
GF-4	GF	CaIN	0.000118416	all
GF-5	GF	CaIN	0.0000920413	all
HD-1	HD	GrES	0.0000232395	all
HD-2	HD	GrES	0.0000238792	all
HD-3	HD	GrES	0.0000289747	all
HD-5	HD	GrES	0.0000275324	all
JA-1	JA	GrES	0.0000329779	all
JA-2	JA	GrES	0.0000368945	all
JA-4	JA	GrES	0.0000346426	all
KU-11	KU	CaMW	0.000288867	all
KU-12	KU	CaMW	0.000297402	all
KU-13	KU	CaMW	0.0003155	all
KU-16	KU	CaMW	0.00029081	all
KU-18	KU	CaMW	0.000276873	all
KU-2	KU	CaMW	0.000298607	all
KU-21	KU	CaMW	0.00030598	all
KU-23	KU	CaMW	0.000290205	all
KU-25	KU	CaMW	0.000307864	all
KU-27	KU	CaMW	0.000305566	all
KU-31	KU	CaMW	0.000271388	all
KU-32	KU	CaMW	0.000229389	all
KU-33	KU	CaMW	0.00026045	all
KU-39	KU	CaMW	0.000284007	all
KU-4	KU	CaMW	0.000298266	all
MO23	ZA	GrEN	0.0000357683	all
MO25	ZA	GrEN	0.0000440062	all
MO27	ZA	GrEN	0.0000427485	all
MO28	ZA	GrEN	0.0000401301	all
MO29	ZA	GrEN	0.0000478184	all
MO30	ZA	GrEN	0.0000367254	all
MO32	ZA	GrEN	0.0000448237	all
MO33	ZA	GrEN	0.0000487308	all
MO34	ZA	GrEN	0.000044802	all
MO35	ZA	GrEN	0.0000461869	all
MO41	ZA	GrEN	0.0000452008	all
MO42	ZA	GrEN	0.0000443228	all
MO43	ZA	GrEN	0.0000429612	all
MO44	ZA	GrEN	0.0000428884	all
MO45	ZA	GrEN	0.0000439017	all
MO46	ZA	GrEN	0.0000460123	all
MO47	ZA	GrEN	0.0000392781	all
MO48	ZA	GrEN	0.0000396033	all
MO49	ZA	GrEN	0.0000423706	all
MO50	ZA	GrEN	0.0000418847	all
RY-3	RY	GrN	0.0000782174	all
SF-1	SF	CaIN	0.000138938	all
SF-3	SF	CaIN	0.000122716	all
TH-27	TH	CaME	0.000362705	all
TH-28	TH	CaME	0.000518448	all
